Date,Day,Week,Content Type,Audience Tier,WhatsApp Tag,Topic / Working Title,Channels,Status,Content File,Planned/Published URL,Notes
2026-09-07,Monday,Week 1,Hook,Local / Small Business,Local Biz,"Your next customer may already be looking for you—why aren't they finding your business?","LinkedIn, Facebook, Telegram, WhatsApp Channel",Published,,,Marked done per Ali — predates this tracker; add real publish links here once available.
2026-09-09,Wednesday,Week 1,Framework,Local / Small Business,Local Biz,"The 5-Point Discoverability Check (Search / Presence / Relevance / Trust / Action)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Drafted,docs/marketing/content-calendar/2026-09-09-week1-framework.md,,Ready to post as-is.
2026-09-10,Thursday,Week 1,Flagship Canonical Article,Local / Small Business,Local Biz,"Your Next Customer May Already Be Looking for You","Website + LinkedIn/Facebook/Telegram/WhatsApp derivatives",Draft exists — needs cleanup,docs/marketing/drafts/week-1-your-next-customer.md,/blog/your-next-customer-may-already-be-looking-for-you (planned),"Original draft has no frontmatter and leftover [cite] artifacts — needs the same cleanup pass as beyond-rpa.md before it can be published."
2026-09-11,Friday,Week 1,Field Note,Local / Small Business,Local Biz,"The hidden discoverability gap (illustrative, not a client case)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-07 to 09-11,(week),Week 1,Physical / Offline,Local / Small Business,Local Biz,"Attend local business networking meetup; distribute Diagnostic QR cards",In-person,Not started,,,"Ops task — Ali to run, not content production."
2026-09-14,Monday,Week 2,Hook,Local / Small Business,Local Biz,"Before building a new website, answer these five core business questions.","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-16,Wednesday,Week 2,Framework,Local / Small Business,Local Biz,"The Conversion Path Decision Matrix","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-17,Thursday,Week 2,Flagship Canonical Article,Local / Small Business,Local Biz,"A Website is a Business Tool, Not an Online Brochure","Website + LinkedIn/Facebook/Telegram/WhatsApp derivatives",Not started,,/blog/website-as-a-business-tool (planned),
2026-09-18,Friday,Week 2,Field Note,Local / Small Business,Local Biz,"Before/after teardown: a landing page conversion flow that doubled inquiry rate (illustrative)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-14 to 09-18,(week),Week 2,Physical / Offline,Local / Small Business,Local Biz,"1-on-1 website diagnostic office hours at local co-working hub",In-person,Not started,,,Ops task.
2026-09-21,Monday,Week 3,Hook,Startups / Founders,Startup,"Writing code before gathering customer evidence is the fastest way to burn startup capital.","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-23,Wednesday,Week 3,Framework,Startups / Founders,Startup,"The Assumption Mapping Matrix (Desirability vs. Feasibility vs. Viability)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-24,Thursday,Week 3,Flagship Canonical Article,Startups / Founders,Startup,"Why Product Validation Must Precede Technical Implementation","Website + LinkedIn/Facebook/Telegram/WhatsApp derivatives",Not started,,/blog/validation-before-code (planned),Ties directly to the live Startup Opportunity & Validation Sprint flagship offer on /startups — link it from this article.
2026-09-25,Friday,Week 3,Field Note,Startups / Founders,Startup,"Founder Focus Group #1: three leap-of-faith assumptions that invalidated early MVPs (illustrative)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-21 to 09-25,(week),Week 3,Physical / Offline,Startups / Founders,Startup,"Facilitate Founder Focus Group #1 (5–8 early-stage founders)",In-person,Not started,,,"Ops task. Calendar also calls for pushing the Startup Opportunity & Validation Sprint offer this week — already live on /startups."
2026-09-28,Monday,Week 4,Hook,Enterprise / Operations,Enterprise,"Where process friction blocks growth, digital marketing alone cannot fix the business.","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-30,Wednesday,Week 4,Framework,Enterprise / Operations,Enterprise,"The Handoff Bottleneck Checklist (spreadsheet waste and approval delays)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-10-01,Thursday,Week 4,Flagship Canonical Article,Enterprise / Operations,Enterprise,"Process Before Automation: Why Automating a Broken Workflow Creates Faster Errors","Website + LinkedIn/Facebook/Telegram/WhatsApp derivatives",Not started,,/blog/process-before-automation (planned),Ties directly to the live Operational & Process Friction Assessment flagship offer on /enterprise — link it from this article.
2026-10-02,Friday,Week 4,Field Note,Enterprise / Operations,Enterprise,"How a 15-minute manual approval step delayed 40% of client fulfillment orders (illustrative)","LinkedIn, Facebook, Telegram, WhatsApp Channel",Not started,,,
2026-09-28 to 10-02,(week),Week 4,Physical / Offline,Enterprise / Operations,Enterprise,"60-minute Executive Briefing with mid-market Operations Directors",In-person,Not started,,,"Ops task. Calendar also calls for pushing the Operational & Process Friction Assessment offer this week — already live on /enterprise."
